"$K$-Monographs in Mathematics","$K$-Monogr. Math."
"Bulletin of General Education","Bull. Gen. Ed. Dokkyo Univ. School Medicine"
"Bulletin of the Greek Mathematical Society","Bull. Greek Math. Soc."
"Honam Mathematical Society","Bull. Honam Math. Soc."
"Bulletin of the Hong Kong Mathematical Society","Bull. Hong Kong Math. Soc."
"Bulletin of Informatics and Cybernetics","Bull. Inform. Cybernet."
"Bulletin of the Institute of Combinatorics and its Applications","Bull. Inst. Combin. Appl."
"Bulletin of the Institute of Mathematics","Bull. Inst. Math. Acad. Sinica"
"Iranian Mathematical Society","Bull. Iranian Math. Soc."
"Bulletin of the Korean Mathematical Society","Bull. Korean Math. Soc."
"Bulletin of Koshien University","Bull. Koshien Univ. B"
"Bulletin of the Kyoto University of Education","Bull. Kyoto Univ. Ed. Ser. B"
"Bulletin of the Kyushu Institute of Technology","Bull. Kyushu Inst. Tech. Math. Natur. Sci."
"Bulletin of the Kyushu Institute of Technology","Bull. Kyushu Inst. Technol. Pure Appl. Math."
"The Bulletin of the London Mathematical Society","Bull. London Math. Soc."
"Malaysian Mathematical Society","Bull. Malaysian Math. Soc. (2)"
"Bulletin Mathematical Association of India","Bull. Math. Assoc. India"
"Bulletin of Nagoya Institute of Technology","Bull. Nagoya Inst. Tech."
"Bulletin of Nara University of Education","Bull. Nara Univ. Ed. Natur. Sci."
"Bulletin of Osaka Prefectural College of Technology","Bull. Osaka Prefect. College Tech."
"Bulletin of Osaka Prefecture University","Bull. Osaka Prefect. Univ. Ser. A Eng. Nat. Sci."
"Polish Academy of Sciences","Bull. Polish Acad. Sci. Math."
"Bulletin of Pure & Applied Sciences","Bull. Pure Appl. Sci. Sect. E Math. Stat."
"Bulletin of Science and Engineering Research Laboratory","Bull. Sci. Eng. Res. Lab. Waseda Univ."
"Bulletin des Sciences Mathématiques","Bull. Sci. Math."
"Bulletin's Science Series","Bull. Sci. Ser."
"University of Łódź","Bull. Sect. Logic Univ. Łódź"
"Bulletin of the Seismological Society of America","Bull. Seismol. Soc. Amer."
"Bulletin of Society of Mathematicians","Bull. Soc. Math. Banja Luka"
"Bulletin de la Société Mathématique de France","Bull. Soc. Math. France"
"Bulletin de la Société Royale des Sciences de Liège","Bull. Soc. Roy. Sci. Liège"
"Bulletin de la Société des Sciences et des Lettres de Łódź","Bull. Soc. Sci. Lett. Łódź Sér. Rech. Déform."
"Société Vaudoise des Sciences Naturelles","Bull. Soc. Vaud. Sci. Nat."
"The Bulletin of Symbolic Logic","Bull. Symbolic Logic"
"Bulletin of Tokyo Gakugei University","Bull. Tokyo Gakugei Univ. (4)"
"Bulletin of Tokyo Gakugei University","Bull. Tokyo Gakugei Univ. Sect. IV Math. Nat. Sci."
"Transilvania University of Brașov","Bull. Transilv. Univ. Brașov Ser. A (N.S.)"
"Transilvania University of Brașov","Bull. Transilv. Univ. Brașov Ser. B (N.S.)"
"Bulletin of the University of Electro-Communications","Bull. Univ. Electro-Comm."
"Vijnana Parishad of India","Bull. Vijnana Parishad India"
"Bulletin of the Yamagata University","Bull. Yamagata Univ. Natur. Sci."
"Bulletin d'études Orientales","Bull. études Orient."
"Bull","Bulletin of the Georgian Academy of Sciences"
"Butlletí de la Societat Catalana de Matemàtiques","Butl. Soc. Catalana Mat."
"Dokladi na B\cdprime lgarskata Akademiya na Naukite","C. R. Acad. Bulgare Sci."
"Comptes Rendus de l'Académie des Sciences","C. R. Acad. Sci. Paris - Math."
"Comptes Rendus de l'Académie des Sciences","C. R. Acad. Sci. Paris Sér. I Math."
"Comptes Rendus Mathématiques des l'Académie des Sciences","C. R. Math. Acad. Sci. Soc. R. Can."
"La Société Royale du Canada","C. R. Math. Rep. Acad. Sci. Canada"
"CBMS Issues in Mathematics Education","CBMS Issues Math. Ed."
"CBMS Regional Conference Series in Mathematics","CBMS Regional Conf. Ser. in Math."
"CBMS-NSF Regional Conference Series in Applied Mathematics","CBMS-NSF Regional Conf. Ser. in Appl. Math."
"CC AI","CC AI"
"CISM Courses and Lectures","CISM Courses and Lectures"
"Current Mathematical Publications","CMP"
"CMS Conference Proceedings","CMS Conf. Proc."
"COMPEL","COMPEL"
"CPHC/BCS Distinguished Dissertations","CPHC/BCS Disting. Diss."
"CRC Mathematical Modelling Series","CRC Math. Model. Ser."
"CRC Press Series on Discrete Mathematics and its Applications","CRC Press Ser. Discrete Math. Appl."
"CRC Series in Computational Mechanics and Applied Analysis","CRC Ser. Comput. Mech. Appl. Anal."
"CRM Monograph Series","CRM Monogr. Ser."
"CRM Proceedings & Lecture Notes","CRM Proc. Lecture Notes"
"CSLI Lecture Notes","CSLI Lecture Notes"
"Centrum voor Wiskunde en Informatica","CWI Quarterly"
"CWI Syllabi","CWI Syllabi"
"CWI Tract","CWI Tract"
"Cadernos de História e Filosofia da Ciência","Cad. Hist. Filos. Ciênc. (3)"
"Cahiers de Physique","Cah. Phys."
"Cahiers du Centre de Logique","Cahiers Centre Logique"
"Cahiers du Centre d'études de Recherche Opérationnelle","Cahiers Centre études Rech. Opér."
"Cahiers Mathématiques de l'École Polytechnique Fédérale de Lausanne","Cahiers Math. École Polytech. Féd. Lausanne"
"Cahiers de Topologie et Géométrie Différentielle Catégoriques","Cahiers Topologie Géom. Différentielle Catég."
"Calculus of Variations and Partial Differential Equations","Calc. Var. Partial Differential Equations"
"Calcolo","Calcolo"
"Calcutta Statistical Association Bulletin","Calcutta Statist. Assoc. Bull."
"Cambridge Aerospace Series","Camb. Aerosp. Ser."
"Cambridge Companions to Philosophy","Camb. Companions Philos."
"Cambridge Monographs on Atomic, Molecular and Chemical Physics","Camb. Monogr. At. Mol. Chem. Phys."
"Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology","Camb. Monogr. Part. Phys. Nucl. Phys. Cosmol."
"Cambridge Series on Statistical and Probabilistic Mathematics","Camb. Ser. Stat. Probab. Math."
"Cambridge Texts in the History of Philosophy","Camb. Texts Hist. Philos."
"Cambridge International Series on Parallel Computation","Cambridge Int. Ser. Parallel Comput."
"Cambridge Lecture Notes in Physics","Cambridge Lecture Notes Phys."
"Cambridge Mathematical Library","Cambridge Math. Lib."
"Cambridge Monographs on Applied and Computational Mathematics","Cambridge Monogr. Appl. Comput. Math."
"Cambridge Monographs on Mathematical Physics","Cambridge Monogr. Math. Phys."
"Cambridge Monographs on Mechanics","Cambridge Monogr. Mech."
"Cambridge Monographs on Physics","Cambridge Monogr. Phys."
"Cambridge Nonlinear Science Series","Cambridge Nonlinear Sci. Ser."
"Cambridge Studies in Advanced Mathematics","Cambridge Stud. Adv. Math."
"Cambridge Studies in Mathematical Biology","Cambridge Stud. Math. Biol."
"Cambridge Studies in Philosophy","Cambridge Stud. Philos."
"Cambridge Studies in Probability, Induction, and Decision Theory","Cambridge Stud. Probab. Induc. Decis. Theory"
"Cambridge Texts in Applied Mathematics","Cambridge Texts Appl. Math."
"Cambridge Tracts in Theoretical Computer Science","Cambridge Tracts Theoret. Comput. Sci."
"Cambridge Tracts in Mathematics","Cambridge Tracts in Math."
"Campi del Sapere/Filosofia","Campi Sapere Filos."
"The Canadian Applied Mathematics Quarterly","Canad. Appl. Math. Quart."
"Canadian Journal of Mathematics","Canad. J. Math."
"The Canadian Journal of Statistics","Canad. J. Statist."
"Canadian Mathematical Bulletin","Canad. Math. Bull."
"Canadian Mathematical Society Series of Monographs and Advanced Texts","Canad. Math. Soc. Ser. Monogr. Adv. Texts"
"Canto","Canto"
"Caribbean Journal of Mathematical and Computing Sciences","Caribbean J. Math. Comput. Sci."
"Carus Mathematical Monographs","Carus Math. Monogr."
"Celestial Mechanics & Dynamical Astronomy","Celestial Mech. Dynam. Astronom."
"Centre de Physique Les Houches","Cent. Phys. Les Houches"
"Centaurus","Centaurus"
"Centre for Pure and Applied Differential Geometry (PADGE)","Centre Pure Appl. Differential Geom. (PADGE)"
"Chaos","Chaos"
"Chaos, Solitons & Fractals","Chaos Soliton Fract."
"Chapman & Hall Probability Series","Chapman & Hall Probab. Ser."
"Chapman and Hall Mathematics Series","Chapman and Hall Math. Ser."
"Chicago Journal of Theoretical Computer Science","Chicago J. Theoret. Comput. Sci."
"Chicago Lectures in Physics","Chicago Lectures Phys."
"Chicago Lectures in Mathematics","Chicago Lectures in Math."
"Chinese Annals of Mathematics, Series A","Chinese Ann. Math. Ser. A"
"Chinese Annals of Mathematics, Series B","Chinese Ann. Math. Ser. B"
"Chinese Astronomy and Astrophysics","Chinese Astronom. Astrophys."
"Chinese Journal of Applied Mechanics","Chinese J. Appl. Mech."
"Chinese Journal of Applied Probability and Statistics","Chinese J. Appl. Probab. Statist."
"Chinese Journal of Contemporary Mathematics","Chinese J. Contemp. Math."
"Chinese Journal of Numerical Mathematics and Applications","Chinese J. Numer. Math. Appl."
"Chinese Journal of Physics","Chinese J. Phys."
"Chinese Physics Letters","Chinese Phys. Lett."
"Chinese Quarterly Journal of Mathematics","Chinese Quart. J. Math."
"Chinese Science Bulletin","Chinese Sci. Bull."
"Chittagong University Studies","Chittagong Univ. Stud. Part II Sci."
"Cho-sŏn Min-ju-ju-ŭi In-min Kong-hwa-kuk Kwa-hak-wŏn","Cho-sŏn In-min Kong-hwa-kuk Kwa-hak-wŏn T'ong-bo"
"Chuncui Shuxue yu Yingyong Shuxue Zhuanzhu","Chuncui Shuxue yu Yingyong Shuxue Zhuanzhu"
"Revista Ciencias Matemáticas","Cienc. Mat. (Havana)"
"Ciencia y Tecnología","Cienc. Tecn."
"Ciencia y Técnica","Cienc. Téc."
"Universidad del Zulia","Ciencia"
"Ciencias","Ciencias"
"Circuits, Systems, and Signal Processing","Circuits Systems Signal Process."
"Clarendon Aristotle Series","Clarendon Aristotle Ser."
"Clarendon Library of Logic and Philosophy","Clarendon Lib. Logic Philos."
"Classic Problem Collections","Class. Probl. Collect."
"Classical and Quantum Gravity","Classical Quantum Gravity"
"Classics in Applied Mathematics","Classics Appl. Math."
"Classics in Mathematics","Classics Math."
"Classics of Soviet Mathematics","Classics Soviet Math."
"Classroom Resource Materials Series","Classr. Res. Mater. Ser."
"Climatic Change","Clim. Change"
"Colección Enrique Pérez Arbeláez","Colec. Enrique Pérez Arbeláez"
"Colección Memorias","Colec. Mem."
"Colecţia Universitaria","Colecţ. Univ."
"Colección: Congresos","Colecc. Congr."
"Colección Julio Carrizosa Valenzuela","Colecc. Julio Carrizosa Valenzuela"
"Coleção CLE","Coleç. CLE"
"Collegium Logicum","Coll. Logicum Ann. Kurt-Gödel-Soc."
"Collana di Studi","Coll. Studi"
"Collection Aléa-Saclay: Monographs and Texts in Statistical Physics","Collect. Aléa-Saclay Monogr. Texts Statist. Phys."
"Collection Histoire de la Pensée","Collect. Hist. Pensée"
"Collection Informatique","Collect. Inform."
"Collection META","Collect. META"
"Universitat de Barcelona","Collect. Math."
"Collection Méthodes","Collect. Méthodes"
"Collection Regards sur la Science","Collect. Regards Sci."
"Collection Sciences dans l'Histoire","Collect. Sci. Hist."
"Collected Studies Series","Collect. Studies Ser."
"Collection de Travaux de l'Académie Internationale d'Histoire des Sciences","Collect. Trav. Acad. Int. Hist. Sci."
"Collection des Universités de France","Collect. Univ. France"
"Collected Works","Collect. Works"
"Collection études","Collect. études"
"The College Mathematics Journal","College Math. J."
"Colloquium Mathematicum","Colloq. Math."
"Colloquia Mathematica Societatis János Bolyai","Colloq. Math. Soc. János Bolyai"
"Combinatorial Optimization","Comb. Optim."
"Combinatorics, Probability and Computing","Combin. Probab. Comput."
"Combinatorica","Combinatorica"
"Combustion Theory and Modelling","Combust. Theory Model."
"Communications in Algebra","Comm. Algebra"
"Communications in Analysis and Geometry","Comm. Anal. Geom."
"Communications in the Analytic Theory of Continued Fractions","Comm. Anal. Theory Contin. Fractions"
"Communications on Applied Nonlinear Analysis","Comm. Appl. Nonlinear Anal."
"Communication and Cognition","Comm. Cogn."
"Communications and Control Engineering Series","Comm. Control Eng. Ser."
"University of Ankara","Comm. Fac. Sci. Univ. Ankara Ser. A1 Math. Statist."
"Communications in Mathematical Physics","Comm. Math. Phys."
"Communications in Numerical Methods in Engineering","Comm. Numer. Methods Eng."
"Communications in Partial Differential Equations","Comm. Partial Differential Equations"
"Communications on Pure and Applied Mathematics","Comm. Pure Appl. Math."
"Communications in Statistics","Comm. Statist. Simulation Comput."
"Communications in Statistics","Comm. Statist. Stochastic Models"
"Communications in Statistics","Comm. Statist. Theory Methods"
"Communications in Theoretical Physics","Comm. Theoret. Phys."
"Communications in Theoretical Physics (Allahabad)","Comm. Theoret. Phys. (Allahabad)"
"Commentarii Mathematici Helvetici","Comment. Math. Helv."
"Polskiego Towarzystwa Matematycznego","Comment. Math. Prace Mat."
"Commentationes Mathematicae Universitatis Carolinae","Comment. Math. Univ. Carolin."
"Commentarii Mathematici Universitatis Sancti Pauli","Comment. Math. Univ. St. Paul."
"Communications in Applied Analysis","Commun. Appl. Anal."
"Communications","Commun. Fac. Sci. Univ. Ank. Sér. A1 Math. Stat."
"Korean Mathematical Society","Commun. Korean Math. Soc."
"Communications in Theoretical Physics","Commun. Theor. Phys. (Beijing)"
"CompLex","CompLex"
"Complementi di Matematica per l'Indirizzo Didàttico","Complementi Mat. Indirizzo Didàtt."
"Complex Adaptive Systems","Complex Adapt. Systems"
"Complex Systems","Complex Systems"
"Complex Variables","Complex Variables Theory Appl."
"Complexity International","Complex. Int."
"Complexity","Complexity"
"Complexity International","Complexity Int."
"Compositio Mathematica","Compositio Math."
"Computers & Fluids","Comput. & Fluids"
"Computers & Structures","Comput. & Structures"
"Computer Aided Geometric Design","Comput. Aided Geom. Des."
"Computers and Artif. Intell.","Comput. Artif. Intell."
"Computational Complexity","Comput. Complexity"
"Computational Geometry","Comput. Geom."
"Computational Imaging and Vision","Comput. Imaging Vision"
"Computational Intelligence","Comput. Intelligence"
"Computational Materials Science","Comput. Mater. Sci."
"Computational Mathematics and Analysis Series","Comput. Math. Anal. Ser."
"Computers & Mathematics with Applications","Comput. Math. Appl."
"Hellenic Mathematical Society","Comput. Math. Appl. (Athens)"
"Computational Mathematics and Mathematical Physics","Comput. Math. Math. Phys."
"Computational Mathematics and Modeling","Comput. Math. Model."
"Computational & Mathematical Organization Theory","Comput. Math. Organ. Theory"
"Computational Mechanics","Comput. Mech."
"Computer Methods in Applied Mechanics and Engineering","Comput. Methods Appl. Mech. Eng."
"Computer Modeling and Simulation in Engineering","Comput. Model. Simul. Eng."
"Computers & Operations Research and their Application to Problems of World Concern","Comput. Oper. Res."
"Computational Optimization and Applications","Comput. Optim. Appl."
"Computer Physics Communications","Comput. Phys. Comm."
"Academy of Sciences of Moldova","Comput. Sci. J. Moldova"
"Computer Science and Scientific Computing","Comput. Sci. Sci. Comput."
"Computational Statistics","Comput. Statist."
"Computational Statistics & Data Analysis","Comput. Statist. Data Anal."
"Computing Supplementum","Comput. Suppl."
"Computerkultur","Computerkultur"
"Computing","Computing"
"Conference Proceedings and Lecture Notes in Geometry and Topology","Conf. Proc. Lecture Notes Geom. Topology"
"Conference Proceedings and Lecture Notes in Physics","Conf. Proc. Lecture Notes Phys."
"Conferenze del Seminario di Matematica dell'Università di Bari","Conf. Semin. Mat. Univ. Bari"
"Configurations","Configurations"
"Conformal Geometry and Dynamics","Conform. Geom. Dyn."
"Congressus Numerantium","Congr. Numer."
"Constructive Approximation","Constr. Approx."
"Constraints","Constraints"
"Contemporary Mathematics","Contemp. Math."
"Contemporary Mathematicians","Contemp. Mathematicians"
"Contests in Mathematics","Contests Math."
"Continuum Mechanics and Thermodynamics","Contin. Mech. Thermodyn."
"Contributions to Applied and Mathematical Statistics","Contrib. Appl. Math. Stat."
"Contributions to Economics","Contrib. Econom."
"Contributions to Economic Analysis","Contrib. Econom. Anal."
"Contributions to Statistics","Contrib. Statist."
"Control and Cybernetics","Control Cybernet."
"The Control of Nature","Control Nat."
"Control Theory & Applications","Control Theory Appl."
"Cours de Géométrie de la Faculté des Sciences","Cours Géom. Fac. Sci."
"Cours Spécialisés","Cours Spéc."
"Cuadernos de la UNED","Cuad. UNED"
"Cuadernos del Instituto de Matemática ""Beppo Levi""","Cuadern. Inst. Mat. Beppo Levi"
"La Cultura Scientifica","Cult. Sci."
"Current Science","Current Sci."
"Cursos e Congresos da Universidade de Santiago de Compostela","Cursos Congr. Univ. Santiago de Compostela"
"Cybernetics and Systems Analysis","Cybernet. Systems Anal."
"Cybernetica","Cybernetica"
"Czechoslovak Journal of Physics","Czechoslovak J. Phys."
"Czechoslovak Mathematical Journal","Czechoslovak Math. J."
"DIMACS Series in Discrete Mathematics and Theoretical Computer Science","DIMACS Ser. Discrete Math. Theoret. Comput. Sci."
"DLR-Forschungsbericht","DLR-Forschungsber."
"DMV Seminar","DMV Sem."
"DUV Mathematik","DUV Math."
"Dějiny Věd a Techniky","DVT---Dějiny Věd Tech."
"Delta Journal of Science","Delta J. Sci."
"Demonstratio Mathematica","Demonstratio Math."
"Designs, Codes and Cryptography","Des. Codes Cryptogr."
"Deutsche Hochschulschriften","Deutsche Hochschulschrift."
"Diagrammes","Diagrammes"
"Dialectica","Dialectica"
"Dialogue","Dialogue"
"Dianzi Keji Daxue Xuebao","Dianzi Keji Daxue Xuebao"
"Differentsial\cprime nye Uravneniya","Differ. Uravn."
"Differential Equations","Differential Equations"
"Differential Equations and Dynamical Systems","Differential Equations Dynam. Systems"
"Differential Geometry and its Applications","Differential Geom. Appl."
"Differential and Integral Equations","Differential Integral Equations"
"Differentsial\cprime naya Geometriya Mnogoobraziy Figur","Differentsial\cprime naya Geom. Mnogoobraz. Figur"
"Nizhegorodskiy Gosudavstvennyy Universitet","Dinamika Sistem"
"Rossíiskaya Akademiya Nauk","Dinamika Sploshn. Sredy"
"Dinamika i Prochnost\cprime Mashin","Dinamika i Prochnost\cprime Mashin"
"Directions in Chaos","Dir. Chaos"
"Dirasat","Dirasat Nat. Eng. Sci."
"Discourses in Mathematics and its Applications","Discourses Math. Appl."
"Discrete Applied Mathematics","Discrete Appl. Math."
"Discrete & Computational Geometry","Discrete Comput. Geom."
"Discrete and Continuous Dynamical Systems","Discrete Contin. Dynam. Systems"
"Discrete Mathematics","Discrete Math."
"Discrete Mathematics and Applications","Discrete Math. Appl."
"Discrete Mathematics and Theoretical Computer Science","Discrete Math. Theor. Comput. Sci."
"Discussiones Mathematicae","Discuss. Math. Algebra Stochastic Methods"
"Discussiones Mathematicae","Discuss. Math. Differential Incl."
"Discussiones Mathematicae","Discuss. Math. Graph Theory"
"Diskretnyy Analiz i Issledovanie Operatsiy","Diskret. Anal. Issled. Oper."
"Diskretnaya Matematika","Diskret. Mat."
"Diskretnyy Analiz i Issledovanie Operatsiy","Diskretn. Anal. Issled. Oper. Ser. 1"
"Diskretnyy Analiz i Issledovanie Operatsiy","Diskretn. Anal. Issled. Oper. Ser. 2"
"Dissertationes Mathematicae Universitatis Tartuensis","Diss. Math. Univ. Tartu."
"Dissertation Summaries in Mathematics","Diss. Summ. Math."
"Dissertationes Mathematicae (Rozprawy Matematyczne)","Dissertationes Math. (Rozprawy Mat.)"
"Distinguished Dissertations in Computer Science","Disting. Diss. Comput. Sci."
"Revista de Matemática de La Universidad del Zulia","Divulg. Mat."
"Documenta Mathematica","Doc. Math."
"Doctoral Thesis","Doctor. Thesis"
"Rossíiskaya Akademiya Nauk","Dokl. Akad. Nauk"
"Doklady","Dokl. Akad. Nauk Armen."
"Akademiya Nauk Azerbay dzhana","Dokl. Akad. Nauk Azerbay dzhana"
"Doklady Akademii Nauk Belarusi","Dokl. Akad. Nauk Belarusi"
"Akademiya Nauk Respubliki Tadzhikistan","Dokl. Akad. Nauk Respub. Tadzhikistan"
"Doklady Physics","Dokl. Phys."
"Doklady","Dokl. Semin. Inst. Prikl. Mat. im. I. N. Vekua"
"Dokumente zur Geschichte der Mathematik","Dokumente Gesch. Math."
"The Dolciani Mathematical Expositions","Dolciani Math. Exp."
"Dongbei Shida Xuebao","Dongbei Shida Xuebao"
"Duke Mathematical Journal","Duke Math. J."
"Dynamics of Continuous, Discrete and Impulsive Systems","Dynam. Contin. Discrete Impuls. Systems"
"Dynamics and Control","Dynam. Control"
"Dynamics Reported: Expositions in Dynamical Systems (New Series)","Dynam. Report. Expositions Dynam. Systems (N.S.)"
"Dynamics and Stability of Systems","Dynam. Stability Systems"
"Dynamic Systems and Applications","Dynam. Systems Appl."
"ERCOFTAC Series","ERCOFTAC Ser."
"ESAIM","ESAIM Control Optim. Calc. Var."
"European Journal of Applied Mathematics","Eur. J. Appl. Math."
"European Journal of Combinatorics","Eur. J. Combin."
"European Journal of Operational Research","Eur. J. Oper. Res."
"European Series in Applied and Industrial Mathematics","ESAIM Probab. Statist."
"European University Institute. Series D: Economics","Eur. Univ. Inst. Ser. D: Econom."
"ESAIM Proceedings","ESAIM Proc."
"EUT Report-WSK","EUT Report-WSK"
"Early Science and Medicine","Early Sci. Med."
"East Journal on Approximations","East J. Approx."
"East-West Journal of Numerical Mathematics","East-West J. Numer. Math."
"Economic Computation and Economic Cybernetics Studies and Research","Econom. Comput. Econom. Cybernet. Stud. Res."
"Econometrics in the Information Age: Theory and Practice of Measurement","Econom. Inf. Age Theory Pract. Meas."
"Economics Letters","Econom. Lett."
"Econometric Society Monographs","Econom. Soc. Monogr."
"Economic Theory","Econom. Theory"
"Economic Theory, Econometrics, and Mathematical Economics","Econom. Theory Econometrics Math. Econom."
"Econometric Reviews","Econometric Rev."
"Econometric Theory","Econometric Theory"
"Econometrica","Econometrica"
"The Egyptian Statistical Journal","Egyptian Statist. J."
"Einblicke in die Wissenschaft","Einblicke Wiss."
"Einstein Studies","Einstein Stud."
"Electrical Engineering and Electronics","Elec. Eng. Electron."
"The Electrical Engineering Handbook Series","Electr. Eng. Handbook Ser."
"Electromagnetism","Electromagnetism"
"Electronic Communications in Probability","Electron. Comm. Probab."
"Electronic Engineering Systems Series","Electron. Eng. Syst. Ser."
"Electronic Journal of Combinatorics","Electron. J. Combin."
"Electronic Journal of Differential Equations","Electron. J. Differential Equations"
"Electronic Journal of Linear Algebra","Electron. J. Linear Algebra"
"Electronic Journal of Probability","Electron. J. Probab."
"Electronic Journal of Qualitative Theory of Differential Equations","Electron. J. Qual. Theory Differ. Equ."
"Electronic Notes in Theoretical Computer Science","Electron. Notes Theor. Comput. Sci."
"Electronic Research Announcements of the American Mathematical Society","Electron. Res. Announc. Amer. Math. Soc."
"Electronic Transactions on Numerical Analysis","Electron. Trans. Numer. Anal."
"Elemente der Mathematik","Elem. Math."
"Encyclopaedia of Mathematical Sciences","Encyclopaedia Math. Sci."
"Encyclopedia of Mathematics and its Applications","Encyclopedia Math. Appl."
"Engineering Computations","Eng. Comput."
"Engineering Transactions","Eng. Trans."
"Enseignement des Mathématiques","Enseign. Math."
"L'Enseignement Mathématique","Enseign. Math. (2)"
"Environmental Fluid Mechanics","Environ. Fluid Mech."
"Epistemata","Epistemata Würzburg. Wissensch. Schrift. Reihe Philos."
"Epsilon","Epsilon"
"Erevanskiy Gosudarstvennyy Universitet","Erevan. Gos. Univ. Uchen. Zap. Estestv. Nauki"
"Ergebnisse der Mathematik und ihrer Grenzgebiete","Ergeb. Math. Grenzgeb. (3)"
"Ergodic Theory and Dynamical Systems","Ergodic Theory Dynam. Systems"
"Erkenntnis","Erkenntnis"
"Ertel's Collected Papers","Ertel's Collect. Pap."
"Instituto Nacional de Estadística","Estadíst. Española"
"Estadística","Estadística"
"Estudios","Estudios"
"European Journal of Mechanics","Eur. J. Mech. A Solids"
"European Journal of Mechanics","Eur. J. Mech. B Fluids"
"European Physical Journal","Eur. Phys. J. B"
"The European Physical Journal C","Eur. Phys. J. C"
"The European Physical Journal","Eur. Phys. J. D"
"Euromath Bulletin","Euromath Bull."
"European Consortium for Mathematics in Industry","European Consort. Math. Indust."
"European Journal of Applied Mathematics","European J. Appl. Math."
"European Journal of Combinatorics","European J. Combin."
"European Journal of Mechanics","European J. Mech. A Solids"
"European Journal of Mechanics","European J. Mech. B Fluids"
"European Journal of Physics","European J. Phys."
"Europhysics Letters","Europhys. Lett."
"Europäische Hochschulschriften","Europäische Hochschulschrift. Reihe V Volks- Betriebswirtsch."
"Europäische Hochschulschriften","Europäische Hochschulschrift. Reihe XX Philos."
"Experimental Mathematics","Experiment. Math."
"Expositiones Mathematicae","Exposition. Math."
"Extracta Mathematicae","Extracta Math."
"Forschungen und Materialien zur Deutschen Aufklärung (FMDA)","FMDA Abt. I: Texte"
"Facta Universitatis","Facta Univ. Ser. Math. Inform."
"University of Niš","Facta Univ. Ser. Mech. Automat. Control Robot."
"Far East Journal of Applied Mathematics","Far East J. Appl. Math."
"Far East Journal of Mathematical Sciences","Far East J. Math. Sci."
"Polytechnica Posnaniensis","Fasc. Math."
"Featured Reviews in Mathematical Reviews","Featur. Rev. Math. Rev."
"Few-Body Systems","Few-Body Systems"
"The Fibonacci Quarterly","Fibonacci Quart."
"Fields Institute Communications","Fields Inst. Commun."
"Fields Institute Monographs","Fields Inst. Monogr."
"Univerzitet u Nišu","Filomat"
"Filosofía","Filosofía"
"Finite Elements in Analysis and Design","Finite Elem. Anal. Des."
"Finite Fields and their Applications","Finite Fields Appl."
"First International Press Lecture Series","First Int. Press Lect. Ser."
"Rossíiskaya Akademiya Nauk","Fiz. Atmos. Okeana"
"Rossíiskaya Akademiya Nauk","Fiz. Zemli"
"Fizika Èlementarnykh Chastits i Atomnogo Yadra","Fiz. Èlementar. Chastits i Atom. Yadra"
"Fiziko-Matematichesko Spisanie","Fiz.-Mat. Spis."
"Fluid Dynamics","Fluid Dynam."
"Japan Society of Fluid Mechanics","Fluid Dynam. Res."
"Fluid Mechanics and its Applications","Fluid Mech. Appl."
"Fluid Mechanics Research","Fluid Mech. Res."
"Focus on Computer Graphics","Focus Comput. Graph."
"Folia Facultatis Scientiarium Naturalium Universitatis Masarykianae Brunensis","Folia Fac. Sci. Natur. Univ. Masaryk. Brun. Math."
"Fondazione C","Fond. C.I.M.E."
"Fondations","Fondations"
"Formazione e Aggiornamento in Matematica degli Insegnanti","Form. Aggiorn. Mat. Insegn."
"Forma","Forma"
"Forschungsergebnisse zur Informatik","Forsch.ergeb. Inform."
"Fortran Numerical Recipes","Fortran Numer. Recipes"
"Fortschritte der Physik","Fortschr. Phys."
"Forum Mathematicum","Forum Math."
"Foundations of Communication and Cognition","Found. Comm. Cogn."
"Poznań University of Technology","Found. Comput. Decision Sci."
"Foundations of Computing Series","Found. Comput. Ser."
"Foundations of Engineering Mechanics","Found. Eng. Mech."
"Foundations of Physics","Found. Phys."
"Foundations of Physics Letters","Found. Phys. Lett."
"Fractals","Fractals"
"Freiburger Studien zur Frühen Neuzeit","Freibg. Stud. Frühen Neuzeit"
"Frieling-Erinnerungen","Frieling-Erinnerungen"
"Frontiers in Applied Mathematics","Frontiers Appl. Math."
"Frontiers in Artif. Intell. and Applications","Frontiers Artif. Intell. Appl."
"Frontiers of Economic Research","Frontiers Econom. Res."
"Fujian Shifan Daxue Xuebao","Fujian Shifan Daxue Xuebao Ziran Kexue Ban"
"Fukuoka University Science Reports","Fukuoka Univ. Sci. Rep."
"Functional Analysis and its Applications","Funct. Anal. Appl."
"Uniwersytet im","Funct. Approx. Comment. Math."
"Functional Differential Equations","Funct. Differ. Equ."
"Fundamenta Informaticae","Fund. Inform."
"Fundamenta Mathematicae","Fund. Math."
"Fundamental Theories of Physics","Fund. Theories Phys."
"Fako de l'Funkcialaj Ekvacioj Japana Matematika Societo","Funkcial. Ekvac."
"Rossíiskaya Akademiya Nauk","Funktsional. Anal. i Prilozhen."
"Fuzzy Sets and Systems","Fuzzy Sets and Systems"
"GAKUTO International Series","GAKUTO Int. Ser. Math. Sci. Appl."
